Genus,Species,Code,NFI_CODE,den0,rel1,unc1,cod1,rel2,unc2,cod2,rel3,unc3,cod3,rel4,unc4,cod4
Abies,amabilis,ABAM,ABIE_AMA,0.4,0.936,0.044,B,0.955,0.022,B,0.803,0.107,B,0.574,0.216,C
Abies,balsamea,ABBA,ABIE_BAL,0.34,1.04,0.062,B,1.15,0.023,B,1.101,0.064,B,0.71,0.219,C
Abies,bracteata,ABBR,ABIE_BRA,0.36,1.018,0.056,B,0.975,0.091,B,0.803,0.107,B,0.574,0.216,C
Abies,concolor,ABCO,ABIE_CON,0.37,0.996,0.021,B,0.873,0.018,B,0.625,0.054,B,0.541,0.213,C
Abies,fraseri,ABFR,ABIE_FRA,0.34,1.018,0.056,B,0.975,0.091,B,0.803,0.107,B,0.574,0.216,C
Abies,grandis,ABGR,ABIE_GRA,0.35,1.013,0.011,B,0.966,0.021,B,0.855,0.054,B,0.574,0.216,C
Abies,lasiocarpa,ABLA,ABIE_LAS,0.31,1.04,0.03,B,1.068,0.073,B,1,0.056,B,0.696,0.214,C
Abies,magnifica,ABMA,ABIE_MAG,0.36,1.04,0.017,B,1.08,0.051,B,0.626,0.054,B,0.467,0.213,C
Abies,magnifica var. shastensis,ABMA2,ABIE_MAG,0.36,1.018,0.056,B,0.975,0.091,B,0.803,0.107,B,0.574,0.216,C
Abies,procera,ABPR,ABIE_PRO,0.37,1.035,0.013,B,0.836,0.013,B,0.845,0.054,B,0.575,0.213,C
Abies,species,ABIE,ABIE_SPE,0.34,1.018,0.056,B,0.975,0.091,B,0.803,0.107,B,0.622,0.217,C
Acacia,species,ACSP2,ACAC_SPE,0.6,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Acer,barbatum,ACBA,ACER_BAR,0.54,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,glabrum,ACGL,ACER_GLA,0.44,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,grandidentatum,ACGR,ACER_GRA,0.44,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,macrophyllum,ACMA,ACER_MAC,0.44,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,negundo,ACNE,ACER_NEG,0.44,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,nigrum,ACNI,ACER_NIG,0.52,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,pensylvanicum,ACPE,ACER_PEN,0.44,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,rubrum,ACRU,ACER_RUB,0.49,1.002,0.049,B,0.773,0.056,B,0.618,0.086,B,0.45,0.221,C
Acer,saccharinum,ACSA2,ACER_SAC,0.44,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,saccharum,ACSA,ACER_SAC,0.56,0.956,0.028,B,0.761,0.055,B,0.526,0.077,B,0.45,0.213,C
Acer,species,ACER,ACER_SPE,0.49,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Acer,spicatum,ACSP,ACER_SPI,0.44,0.979,0.035,B,0.766,0.194,B,0.565,0.16,B,0.45,0.221,C
Aesculus,californica,AECA,AESC_CAL,0.38,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Aesculus,species,AESP,AESC_SPE,0.33,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Ailanthus,altissima,AIAL,AILA_ALT,0.37,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Aleurites,fordii,ALFO,ALEU_FOR,0.47,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Alnus,rubra,ALRU,ALNU_RUB,0.37,1.03,0.013,B,0.903,0.051,B,0.535,0.074,B,0.393,0.213,C
Alnus,species,ALSP,ALNU_SPE,0.37,1.03,0.135,B,0.903,0.228,B,0.535,0.153,B,0.393,0.219,C
Amelanchier,species,AMSP,AMEL_SPE,0.66,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Arbutus,menziesii,ARME,ARBU_MEN,0.58,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Asimina,triloba,ASTR,ASIM_TRI,0.47,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Betula,alleghaniensis,BEAL,BETU_ALL,0.55,1.032,0.135,B,0.713,0.181,B,0.336,0.075,B,0.402,0.213,C
Betula,lenta,BELE,BETU_LEN,0.6,1.04,0.07,B,0.756,0.077,B,0.5,0.084,B,0.439,0.22,C
Betula,lutea,BELU,BETU_LUT,0.6,1.04,0.044,B,0.671,0.048,B,0.4,0.076,B,0.439,0.22,C
Betula,nigra,BENI,BETU_NIG,0.56,1.032,0.135,B,0.713,0.181,B,0.511,0.148,B,0.439,0.22,C
Betula,occidentalis,BEOC,BETU_OCC,0.53,1.032,0.135,B,0.713,0.181,B,0.511,0.148,B,0.439,0.22,C
Betula,papyrifera,BEPA,BETU_PAP,0.48,1.016,0.052,B,0.713,0.181,B,0.777,0.12,B,0.439,0.22,C
Betula,papyrifera var. commutata,BEPA2,BETU_PAP,0.48,1.032,0.135,B,0.713,0.181,B,0.511,0.148,B,0.439,0.22,C
Betula,populifolia,BEPO,BETU_POP,0.45,1.032,0.135,B,0.713,0.181,B,0.511,0.148,B,0.439,0.22,C
Betula,species,BESP,BETU_SPE,0.48,1.032,0.135,B,0.713,0.181,B,0.511,0.148,B,0.439,0.22,C
Bumelia,lanuginosa,BULA,BUME_LAN,0.47,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Calocedrus,decurrens,CADE3,CALO_DEC,0.37,1.04,0.074,B,0.972,0.035,B,1.011,0.059,B,0.596,0.218,C
Carpinus,caroliniana,CACA,CARP_CAR,0.58,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Carya,aquatica,CAAQ,CARY_AQU,0.61,0.988,0.069,B,0.705,0.064,B,0.404,0.08,B,0.396,0.219,C
Carya,cordiformis,CACO,CARY_COR,0.6,1.04,0.075,B,0.661,0.056,B,0.44,0.077,B,0.396,0.219,C
Carya,glabra,CAGL,CARY_GLA,0.66,0.988,0.069,B,0.705,0.064,B,0.404,0.08,B,0.396,0.219,C
Carya,illinoensis,CAIL,CARY_ILL,0.6,0.988,0.069,B,0.705,0.064,B,0.404,0.08,B,0.396,0.219,C
Carya,laciniosa,CALA,CARY_LAC,0.62,0.988,0.069,B,0.705,0.064,B,0.404,0.08,B,0.396,0.219,C
Carya,myristicaeformis,CAMY,CARY_MYR,0.56,0.988,0.069,B,0.705,0.064,B,0.404,0.08,B,0.396,0.219,C
Carya,ovata,CAOV,CARY_OVA,0.64,0.895,0.062,B,0.808,0.073,B,0.51,0.081,B,0.396,0.219,C
Carya,species,CASP,CARY_SPE,0.62,1.04,0.033,B,0.727,0.035,B,0.334,0.074,B,0.396,0.213,C
Carya,texana,CATE,CARY_TEX,0.54,0.988,0.069,B,0.705,0.064,B,0.404,0.08,B,0.396,0.219,C
Carya,tomentosa,CATO,CARY_TOM,0.64,0.977,0.056,B,0.627,0.038,B,0.332,0.078,B,0.396,0.219,C
Castanea,dentata,CADE,CAST_DEN,0.4,0.936,0.043,B,0.94,0.046,B,0.668,0.082,B,0.525,0.223,C
Castanea,ozarkensis,CAOZ,CAST_OZA,0.4,0.936,0.123,B,0.94,0.237,B,0.676,0.185,B,0.525,0.223,C
Castanea,pumila,CAPU,CAST_PUM,0.4,0.936,0.123,B,0.94,0.237,B,0.676,0.185,B,0.525,0.223,C
Castanopsis,species,CAST,CAST_SPE,0.42,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Catalpa,species,CATA,CATA_SPE,0.38,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Celtis,laevigata,CELA,CELT_LAE,0.47,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Celtis,occidentalis,CEOC,CELT_OCC,0.49,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Celtis,species,CESP,CELT_SPE,0.49,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Cercis,canadensis,CECA,CERC_CAN,0.58,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Cercocarpus,intricatus,CEIN,CERC_INT,1,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Cercocarpus,ledifolius,CELE,CERC_LED,1,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Cercocarpus,montanus,CEMO,CERC_MON,1,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Chamaecyparis,lawsoniana,CHLA,CHAM_LAW,0.39,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Chamaecyparis,nootkatensis,CHNO,CHAM_NOO,0.42,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Chamaecyparis,thyoides,CHTH,CHAM_THY,0.31,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Cladrastis,lutea,CLLU,CLAD_LUT,0.52,0.982,0.129,B,0.844,0.199,B,0.775,0.163,B,0.525,0.223,C
Cornus,florida,COFL,CORN_FLO,0.64,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Cornus,nuttallii,CONU,CORN_NUT,0.58,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Cornus,species,COSP,CORN_SPE,0.64,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Cotinus,obovaus,COOB,COTI_OBO,0.47,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Crataegus,species,CRSP,CRAT_SPE,0.62,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
