"X","LGTREE_NFI","LGTREE_GENUS","LGTREE_SPECIES","LGTREE_STATUS","DBH","HEIGHT","REM_BARK","APPEARANCE","CROWN_COND"
1,"PSEU_MEN","PSEU","MEN","LS",17.4,10.9,100,1,1
2,"TSUG_HET","TSUG","HET","LS",11.3,9.8,100,6,1
3,"PSEU_MEN","PSEU","MEN","LS",11.7,9.8,100,2,1
4,"PSEU_MEN","PSEU","MEN","LS",12.5,9.6,100,1,1
5,"PSEU_MEN","PSEU","MEN","LS",15.5,11.7,100,3,3
6,"PSEU_MEN","PSEU","MEN","LS",10.7,9.9,100,5,5
7,"PSEU_MEN","PSEU","MEN","LS",13.2,9.2,100,1,1
8,"TSUG_HET","TSUG","HET","LS",10.3,10.6,100,4,4
9,"TSUG_HET","TSUG","HET","LS",9.1,10.4,100,1,1
10,"PSEU_MEN","PSEU","MEN","LS",14.4,9.2,100,1,1
11,"THUJ_PLI","THUJ","PLI","LS",12,7.1,100,1,1
12,"PSEU_MEN","PSEU","MEN","LS",14,10.8,100,1,2
13,"PSEU_MEN","PSEU","MEN","LS",10.8,8.4,100,1,1
14,"PSEU_MEN","PSEU","MEN","LS",15,9.2,100,1,1
15,"PSEU_MEN","PSEU","MEN","LS",11.7,9.2,100,2,1
16,"PSEU_MEN","PSEU","MEN","LS",18.5,13.8,100,1,1
17,"TSUG_HET","TSUG","HET","LS",17,13,100,1,1
18,"PSEU_MEN","PSEU","MEN","LS",15.7,11.7,100,1,1
19,"TSUG_HET","TSUG","HET","LS",15.7,12,100,2,3
20,"TSUG_HET","TSUG","HET","LS",15,11.6,100,1,1
21,"TSUG_HET","TSUG","HET","LS",10,10.8,100,1,1
22,"TSUG_HET","TSUG","HET","LS",14.2,11.1,100,1,1
23,"PSEU_MEN","PSEU","MEN","LS",14.1,9.6,100,1,1
24,"TSUG_HET","TSUG","HET","LS",11.1,9.1,100,1,1
25,"TSUG_HET","TSUG","HET","LS",9.5,8,100,1,1
26,"PSEU_MEN","PSEU","MEN","LS",15.5,10.8,100,1,1
27,"PSEU_MEN","PSEU","MEN","LS",13.7,10,100,1,1
28,"TSUG_HET","TSUG","HET","LS",9.2,10.6,100,1,1
29,"TSUG_HET","TSUG","HET","LS",9,10.6,100,1,1
30,"TSUG_HET","TSUG","HET","LS",9.7,8.6,100,2,1
31,"TSUG_HET","TSUG","HET","LS",9.4,9.7,100,1,1
32,"TSUG_HET","TSUG","HET","LS",10.5,9.1,100,1,1
33,"PSEU_MEN","PSEU","MEN","LS",12,8.7,100,1,1
34,"THUJ_PLI","THUJ","PLI","LS",11.2,7.5,100,1,1
35,"PSEU_MEN","PSEU","MEN","LS",16.6,10,100,3,3
36,"THUJ_PLI","THUJ","PLI","LS",10.4,6.8,100,1,1
37,"THUJ_PLI","THUJ","PLI","LS",9.2,7,100,1,1
38,"PSEU_MEN","PSEU","MEN","LS",16.3,8.5,100,1,1
39,"THUJ_PLI","THUJ","PLI","LS",19.2,8.5,100,1,1
40,"PSEU_MEN","PSEU","MEN","LS",16,8,100,1,1
41,"PSEU_MEN","PSEU","MEN","LS",10.7,7.8,100,1,1
42,"PSEU_MEN","PSEU","MEN","LS",21.4,10,100,6,1
43,"PSEU_MEN","PSEU","MEN","LS",19,12.3,100,1,3
44,"PSEU_MEN","PSEU","MEN","LS",19.2,9.6,100,1,4
45,"PSEU_MEN","PSEU","MEN","LS",15.2,11,98,1,1
46,"PSEU_MEN","PSEU","MEN","LS",11.6,8.3,100,1,1
47,"PSEU_MEN","PSEU","MEN","LS",18.3,9.3,100,1,1
48,"PSEU_MEN","PSEU","MEN","LS",14.3,9.5,100,1,1
49,"PSEU_MEN","PSEU","MEN","LS",18.1,10,100,4,1
50,"THUJ_PLI","THUJ","PLI","LS",15.7,8.8,100,1,1
